aobtDateKey;adep;ades;aobtDate;aobtTime;aibtDate;aibtTime;aircraftRegistration;aircraftType;airline
20170101;LEMH;LEBL;01/01/2017;17:18:00;01/01/2017;18:01:00;EIDYM;B738;RYR
20170101;LEMH;LEPA;01/01/2017;16:21:00;01/01/2017;16:48:00;ECJZU;CRJ9;ANE
20170101;LEMH;LEBL;01/01/2017;16:01:00;01/01/2017;16:50:00;ECLOC;A320;VLG
20170101;LEMH;LEBL;01/01/2017;20:40:00;01/01/2017;21:28:00;ECMES;A320;VLG
20170101;LEMH;LEBL;01/01/2017;13:31:00;01/01/2017;14:16:00;ECMKE;AT75;AEA
20170101;LEMH;LEPA;01/01/2017;8:42:00;01/01/2017;9:11:00;ECJZU;CRJ9;ANE
20170101;LEMH;LEPA;01/01/2017;11:14:00;01/01/2017;11:42:00;ECLYJ;AT75;AEA
20170101;LEMH;LEVC;01/01/2017;13:23:00;01/01/2017;14:27:00;ECLRU;AT76;ANE
20170101;LEMH;LEBL;01/01/2017;18:07:00;01/01/2017;19:11:00;ECLYJ;AT75;AEA
20170101;LEMH;LEPA;01/01/2017;16:45:00;01/01/2017;17:18:00;ECMKE;AT75;AEA
20170101;LEMH;LEMD;01/01/2017;6:04:00;01/01/2017;7:29:00;ECLJT;CRJX;ANE
20170101;LEMH;LEPA;01/01/2017;6:04:00;01/01/2017;6:35:00;ECJXZ;CRJ9;ANE
20170101;LEMH;LEMD;01/01/2017;12:52:00;01/01/2017;14:12:00;ECLPG;CRJX;ANE
20170101;LEMH;LEBL;01/01/2017;17:15:00;01/01/2017;18:02:00;ECLQK;A320;VLG
20170102;LEMH;LEPA;02/01/2017;19:25:00;02/01/2017;19:48:00;ECHTS;E120;SWT
20170102;LEMH;LEBL;02/01/2017;16:47:00;02/01/2017;17:34:00;ECMJB;A320;VLG
20170102;LEMH;LEBL;02/01/2017;13:29:00;02/01/2017;14:21:00;ECMKE;AT75;AEA
20170102;LEMH;LEPA;02/01/2017;16:36:00;02/01/2017;17:06:00;ECMKE;AT75;AEA
20170102;LEMH;LEMD;02/01/2017;13:30:00;02/01/2017;14:51:00;ECLPG;CRJX;ANE
