aobtDateKey;adep;ades;aobtDate;aobtTime;aibtDate;aibtTime;aircraftRegistration;aircraftType;airline
20170101;LEST;LEZL;01/01/2017;14:45:00;01/01/2017;15:50:00;EIFIG;B738;RYR
20170101;LEST;LEMG;01/01/2017;16:50:00;01/01/2017;18:16:00;CSTRL;A320;EVE
20170101;LEST;GCRR;01/01/2017;20:30:00;01/01/2017;23:04:00;EIENN;B738;RYR
20170101;LEST;LEMD;01/01/2017;8:25:00;01/01/2017;9:36:00;ECJFH;A320;IBS
20170101;LEST;LEBL;01/01/2017;21:25:00;01/01/2017;23:06:00;ECLAB;A320;VLG
20170101;LEST;LEMD;01/01/2017;21:10:00;01/01/2017;22:17:00;EIFRZ;B738;RYR
20170101;LEST;GCTS;01/01/2017;20:30:00;01/01/2017;23:25:00;EIEXE;B738;RYR
20170101;LEST;LEBL;01/01/2017;12:38:00;01/01/2017;14:11:00;ECLQK;A320;VLG
20170101;LEST;LIME;01/01/2017;15:30:00;31/12/9999;23:59:00;EIDLK;B738;RYR
20170101;LEST;LEMD;01/01/2017;19:30:00;01/01/2017;20:35:00;ECJDM;A321;IBS
20170101;LEST;LEPA;01/01/2017;12:51:00;01/01/2017;14:29:00;ECJXZ;CRJ9;ANE
20170101;LEST;LSGG;01/01/2017;8:30:00;31/12/9999;23:59:00;HBJXC;A320;EZS
20170101;LEST;LEMD;01/01/2017;16:45:00;01/01/2017;18:03:00;ECLUC;A320;IBS
20170101;LEST;LEAL;01/01/2017;12:10:00;01/01/2017;13:40:00;CSTRL;A320;EVE
20170101;LEST;LEPA;01/01/2017;15:55:00;01/01/2017;17:58:00;ECLZN;A320;VLG
20170101;LEST;LEVC;01/01/2017;9:35:00;01/01/2017;11:04:00;EIDLK;B738;RYR
20170101;LEST;LFPG;01/01/2017;10:15:00;31/12/9999;23:59:00;ECLAB;A320;VLG
20170101;LEST;LEMG;01/01/2017;17:09:00;01/01/2017;18:34:00;ECMDZ;A320;VLG
20170102;LEST;LSZH;02/01/2017;9:00:00;31/12/9999;23:59:00;HBIOH;A321;SWR
20170102;LEST;GCXO;02/01/2017;11:50:00;02/01/2017;14:36:00;ECMJP;CRJX;ANE
20170102;LEST;LEBL;02/01/2017;21:25:00;02/01/2017;23:14:00;ECMAI;A320;VLG
20170102;LEST;LEVC;02/01/2017;9:50:00;02/01/2017;11:09:00;EIDPY;B738;RYR
20170102;LEST;LEMD;02/01/2017;17:31:00;02/01/2017;18:35:00;EIDPY;B738;RYR
20170102;LEST;LEBL;02/01/2017;21:35:00;02/01/2017;23:14:00;EIFOY;B738;RYR
20170102;LEST;LEBB;02/01/2017;20:04:00;02/01/2017;20:59:00;ECMLN;CRJX;ANE
